COD PROVEIDOR;NUM. FRA.;DATA;Base Imposable;% IVA;Trimestre;Empty00;Num;Extraccio: NUM. FRA.2;Extraccio: DATA;Extraccio: NIF;Extraccio: PROVEIDOR;Extraccio: COMPTE;Extraccio: Base Imposable;Extraccio: %;Empty01;Empty02;Empty03;Empty04;Empty05;Extraccio: ES FACTURA?  SI/NO;Extraccio: ACTIVITAT EXEMPTA IVA?;Extraccio: PAIS;Extraccio: DESCRIPCIO INVERSIO
Llum;21240415010038770;15/04/2024;58,34;21;2; ;4;21240415010038770;15/04/2024;A66098435;Iberdrola;628;58,34;0,21; ; ; ; ; ;SI;;España;Llum
Internet y movil;CI00000065970243;17/04/2024;40,85;21;2; ;5;CI00000065970243;17/04/2024;A80907397;Vodafone España S.A.U;629;40,85;0,21; ; ; ; ; ;SI;;España;Internet y movil
Serveis Microsoft Office;G046107917;05/05/2024;5,6;21;2; ;6;G046107917;05/05/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Gas;21240509010310649;09/05/2024;81,28;21;2; ;7;21240509010310649;09/05/2024;A95758389;Iberdrola;629;81,28;0,21; ; ; ; ; ;SI;;España;Gas
Llum;21240514010040314;14/05/2024;73,99;21;2; ;8;21240514010040314;14/05/2024;A66098435;Iberdrola;628;73,99;0,21; ; ; ; ; ;SI;;España;Llum
Internet y movil;CI00000067044143;17/05/2024;41,05;21;2; ;9;CI00000067044143;17/05/2024;A80907397;Vodafone España S.A.U;629;41,05;0,21; ; ; ; ; ;SI;;España;Internet y movil
Serveis Microsoft Office;G049122001;05/06/2024;5,6;21;2; ;10;G049122001;05/06/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Internet y movil;CI00000068115811;04/06/2024;33,76;21;2; ;11;CI00000068115811;04/06/2024;A80907397;Vodafone España S.A.U;629;33,76;0,21; ; ; ; ; ;SI;;España;Internet y movil
Aigüa;20243951305;11/06/2024;27,89;10;2; ;12;20243951305;11/06/2024;A95758389;Aigues de Barcelona;629;27,89;0,1; ; ; ; ; ;SI;;España;Aigüa
Llum;21240614010044383;14/06/2024;75,17;21;2; ;13;21240614010044383;14/06/2024;A66098435;Iberdrola;628;75,17;0,21; ; ; ; ; ;SI;;España;Llum
Gestors;1540/1;26/06/2024;46;21;2; ;14;1540/1;26/06/2024;B66379900;TRIADA ASSESSORS, SLP;623;46;0,21; ; ; ; ; ;SI;;España;Gestors
Amazon PLC;ES4YDH6MAEUS;11/07/2024;80,98;21;3; ;1;ES4YDH6MAEUS;11/07/2024;ESW0184081H;Amazon EU, Sucursal en España;600;80,98;0,21; ; ; ; ; ;SI;;España;Amazon PLC
Serveis Microsoft Office;G052232574;05/07/2024;5,6;21;3; ;2;G052232574;05/07/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Llum;21240711010031751;11/07/2024;67,07;10;3; ;3;21240711010031751;11/07/2024;A66098435;Iberdrola;628;67,07;0,1; ; ; ; ; ;SI;;España;Llum
